no;wealth;quintile;agechild;bord;agemother;ed;rural;region;reg;PSU;weight;male;zscore;zscore1
65;0.33699;d;13;1;14;a;1;5;e;633;0.197582;0;-1.18;4.82
66;-0.89437;b;45;6;36;b;1;2;b;271;0.85094;0;-0.41;5.59
67;0.19207;d;49;8;36;a;1;5;e;635;0.177096;1;2.66;8.66
68;0.70453;d;10;7;26;a;0;3;c;426;1.263311;0;-4.48;1.52
69;-1.21617;a;2;4;30;a;1;3;c;308;0.569078;0;-1.02;4.98
70;-0.75663;b;37;1;24;b;1;1;a;106;0.933655;0;0.05;6.05
71;0.28754;d;52;4;31;c;1;5;e;626;0.571854;1;1.4;7.4
72;0.17718;d;2;1;19;b;1;5;e;626;0.571854;1;-0.29;5.71
73;1.35746;e;6;4;33;c;0;6;f;789;1.536283;1;1.75;7.75
74;0.79842;d;38;1;19;c;1;6;f;865;0.558358;0;-0.68;5.32
75;-1.31144;a;38;6;29;a;1;3;c;410;1.246553;0;-3.94;2.06
76;-0.26717;c;48;6;39;a;1;3;c;432;0.764506;1;1.26;7.26
77;0.46243;d;23;1;16;c;1;2;b;171;0.498504;1;-2.67;3.33
78;-0.06749;c;3;4;30;c;0;2;b;172;0.933154;1;0.5;6.5
79;1.2288;e;40;3;26;b;1;5;e;648;0.370776;1;-1.87;4.13
80;-0.299;c;38;5;27;a;1;5;e;613;0.340137;1;-2.5;3.5
81;0.68717;d;36;6;32;b;1;5;e;646;0.542868;0;-2.51;3.49
82;-1.01516;b;12;3;31;a;1;4;d;495;0.519857;0;0.96;6.96
83;-1.4889;a;45;8;30;a;1;3;c;318;0.761887;0;-0.8;5.2
84;-1.066;b;36;3;20;a;1;1;a;8;1.01206;1;-4.23;1.77
85;-0.03833;c;30;2;38;a;1;6;f;850;0.833982;1;-0.48;5.52
86;1.05342;e;22;4;29;b;0;5;e;708;0.317302;0;-1.55;4.45
87;-1.53833;a;32;4;21;a;1;2;b;202;1.019512;0;-2.96;3.04
88;-1.16825;a;50;11;44;a;1;3;c;399;1.106136;0;-2.41;3.59
89;-1.19014;a;32;3;19;a;1;3;c;480;0.950149;0;-3.02;2.98
90;0.64844;d;33;9;40;b;0;6;f;811;0.878348;0;-2.57;3.43
91;-0.10947;c;20;9;38;a;1;1;a;11;1.188385;1;0.04;6.04
92;-1.36104;a;51;4;25;a;1;2;b;249;0.369455;0;-2.19;3.81
93;0.62222;d;1;7;38;a;0;3;c;365;2.06615;0;0.8;6.8
94;-0.71083;b;31;12;36;a;1;5;e;698;0.392526;0;-0.82;5.18
95;1.06566;e;47;1;23;c;1;6;f;749;0.350088;1;0.02;6.02
96;-0.82535;b;24;6;30;a;1;2;b;239;0.62875;0;2.15;8.15
97;-0.43308;c;29;2;19;c;1;2;b;281;0.437392;1;-4.14;1.86
98;-1.05422;b;33;2;25;a;1;2;b;271;0.85094;0;-3.62;2.38
99;-0.89585;b;10;1;19;b;1;2;b;185;1.079536;1;-1.8;4.2
100;-0.10806;c;57;8;34;b;1;4;d;528;2.100397;0;-3.79;2.21
101;0.49117;d;4;6;29;b;0;5;e;632;0.176165;1;3.88;9.88
102;1.82225;e;32;7;37;c;0;4;d;530;4.380878;0;-0.26;5.74
103;-0.90945;b;24;3;21;a;1;2;b;199;0.783999;1;-2.11;3.89
104;1.59274;e;33;3;36;c;0;4;d;563;0.337311;1;0.98;6.98
105;-0.50937;c;14;3;24;a;1;3;c;464;0.850911;1;-3.83;2.17
106;0.17303;d;42;3;24;a;0;2;b;294;0.17383;0;-1.83;4.17
107;1.61516;e;13;5;29;a;1;1;a;50;1.42752;1;-0.44;5.56
108;1.05878;e;27;6;32;c;0;3;c;335;3.126267;0;-4.9;1.1
109;-0.326;c;17;9;39;b;0;1;a;93;0.332119;0;-1.85;4.15
110;-1.25376;a;12;3;24;b;1;2;b;274;0.39609;0;-3.07;2.93
111;-1.05643;b;22;1;17;a;1;2;b;282;1.017309;1;-3.75;2.25
112;0.9714;e;5;1;17;b;0;1;a;92;0.459906;1;-0.17;5.83
113;0.04999;c;14;1;24;c;1;1;a;158;1.543333;0;-0.63;5.37
114;-0.28235;c;20;7;34;a;1;1;a;161;0.509531;1;-3.44;2.56
115;1.25446;e;54;1;29;b;0;6;f;801;1.898613;1;0.58;6.58
116;-0.67689;b;0;6;29;b;0;4;d;551;0.884972;1;-0.86;5.14
117;0.52574;d;54;7;35;b;1;5;e;687;0.536755;1;-1.95;4.05
118;1.60722;e;37;3;29;c;0;4;d;508;1.178836;0;0.25;6.25
119;-1.3794;a;26;4;27;a;0;2;b;203;0.976449;1;-2.55;3.45
120;-1.43734;a;2;2;18;a;1;3;c;381;0.897696;1;-2.02;3.98
121;0.38667;d;11;3;28;c;0;4;d;567;0.64001;1;1.14;7.14
122;1.24472;e;20;3;21;c;0;5;e;689;0.850047;0;0.22;6.22
123;-0.86593;b;51;6;35;a;1;6;f;901;1.609678;0;1.23;7.23
124;-1.09261;a;19;12;43;a;1;2;b;194;0.62176;1;-2.86;3.14
125;0.37769;d;7;4;27;a;1;3;c;462;0.711753;1;2.6;8.6
126;-0.5634;c;38;9;42;a;0;3;c;359;0.991925;1;0;6
127;-1.0807;a;58;1;17;a;1;3;c;480;0.950149;0;-3.99;2.01
128;-0.74766;b;49;2;16;a;0;3;c;352;1.372976;0;-0.72;5.28
129;-0.18493;c;14;1;23;a;1;6;f;759;0.335496;1;-2;4
130;1.41801;e;48;1;23;c;0;2;b;278;0.733045;1;-0.48;5.52
131;-0.90869;b;15;2;23;b;1;2;b;275;0.901706;0;-0.42;5.58
132;-0.62348;b;21;2;19;c;0;3;c;398;1.249717;1;-4.19;1.81
133;0.27674;d;45;3;21;b;0;2;b;290;0.315152;1;0.25;6.25
134;-1.3566;a;20;1;18;a;1;2;b;207;1.036056;0;-2.81;3.19
135;0.8614;e;1;1;21;c;0;5;e;697;0.62981;1;-2.21;3.79
136;0.36218;d;16;3;18;b;1;3;c;424;1.754282;0;-2.45;3.55
137;-0.6679;b;37;5;27;a;1;1;a;113;0.561727;1;-1.15;4.85
138;-1.55627;a;1;1;18;a;1;1;a;123;1.513454;0;-0.26;5.74
139;-1.34626;a;26;8;27;a;1;3;c;446;0.393026;1;-4.68;1.32
140;-0.68125;b;16;4;43;a;0;3;c;423;1.33742;1;-0.84;5.16
141;-0.7869;b;6;2;16;a;1;3;c;394;0.64804;0;1.21;7.21
142;1.29975;e;28;2;28;b;0;2;b;278;0.733045;1;1.5;7.5
143;0.13804;d;18;1;23;c;0;4;d;526;0.605199;0;0.6;6.6
144;1.11069;e;54;1;21;c;0;5;e;732;2.77195;1;0.21;6.21
145;0.35127;d;8;8;37;c;1;5;e;715;0.557159;0;1.03;7.03
146;-1.51781;a;37;6;27;a;1;2;b;249;0.369455;1;-4.61;1.39
147;-0.84447;b;29;1;15;a;1;3;c;464;0.850911;1;-2.24;3.76
148;-1.04459;b;48;1;17;b;1;5;e;698;0.392526;0;0.14;6.14
149;-1.31352;a;50;4;26;a;1;3;c;456;0.636329;1;-2.41;3.59
150;-1.23928;a;52;1;15;a;1;2;b;193;0.562528;1;-2.04;3.96
151;0.85304;d;7;4;27;b;1;5;e;635;0.177096;0;-2.89;3.11
152;-1.51628;a;51;2;25;a;1;1;a;134;0.998535;0;-2.25;3.75
153;-0.10901;c;27;2;22;b;0;6;f;768;0.348385;1;-3.1;2.9
154;-1.08618;a;36;4;23;a;1;2;b;272;0.301616;1;-1.75;4.25
155;-1.06729;b;13;4;27;a;1;3;c;487;1.56096;0;-4.47;1.53
156;1.66778;e;57;8;33;c;1;2;b;246;0.222665;1;-0.68;5.32
157;1.19506;e;36;2;20;b;1;2;b;169;0.483374;1;-5.45;0.55
158;0.33555;d;22;5;26;a;0;1;a;120;1.820731;1;-4.86;1.14
159;0.64806;d;51;7;28;a;0;3;c;365;2.06615;0;-2.46;3.54
160;-0.62872;b;1;4;24;a;1;1;a;46;0.394049;1;1.43;7.43
161;-0.50045;c;44;2;32;b;0;6;f;851;0.547682;0;-2.51;3.49
162;-0.89329;b;2;5;25;b;1;3;c;405;1.128182;1;-2.22;3.78
163;-0.76382;b;54;5;29;a;1;3;c;308;0.569078;0;-1.71;4.29
164;0.05876;c;7;2;18;a;0;6;f;756;0.355704;1;-0.74;5.26
165;1.04006;e;7;3;30;c;1;5;e;614;0.74115;0;-0.94;5.06
166;-0.55956;c;4;1;26;b;1;5;e;621;0.971536;0;-0.36;5.64
167;0.92429;e;10;2;28;c;0;6;f;769;0.888143;0;0.2;6.2
168;-0.66442;b;48;5;36;a;1;2;b;182;0.540369;1;-3.59;2.41
169;0.10199;d;10;9;38;b;1;5;e;646;0.542868;1;-1.38;4.62
170;-1.15052;a;45;8;31;a;1;3;c;429;0.566671;0;-4.99;1.01
171;-0.7688;b;20;3;20;a;1;3;c;399;1.106136;1;-4.07;1.93
172;-1.37334;a;36;1;17;a;1;1;a;122;2.269121;1;-0.22;5.78
173;-0.241;c;29;1;17;a;0;3;c;453;0.58552;1;-0.73;5.27
174;2.24603;e;28;1;21;c;0;6;f;777;1.310241;1;0.07;6.07
175;1.24256;e;46;8;35;a;0;2;b;187;0.412412;1;-3.37;2.63
176;-1.0498;b;0;3;25;b;1;3;c;416;0.937952;0;1.15;7.15
177;1.12535;e;56;2;21;c;1;4;d;511;0.665914;0;0.75;6.75
178;0.57166;d;57;5;25;c;1;5;e;642;0.352409;1;1.46;7.46
179;-0.28957;c;40;4;39;a;0;6;f;900;2.254121;0;-1.22;4.78
180;-0.87425;b;48;7;26;a;1;3;c;442;1.130829;1;-2.37;3.63
181;-0.47501;c;40;4;22;a;0;2;b;192;0.712599;1;-1.95;4.05
182;-1.64787;a;3;8;31;a;1;2;b;271;0.85094;1;1.92;7.92
183;-0.66247;b;41;2;21;a;1;2;b;168;0.782903;0;-1.47;4.53
184;-0.52736;c;8;4;24;a;1;1;a;112;1.090971;1;-1.88;4.12
185;0.77807;d;43;4;22;c;0;2;b;242;0.702237;1;-0.82;5.18
186;0.17303;d;41;8;31;a;0;2;b;294;0.17383;0;-2.1;3.9
187;1.19434;e;47;3;29;c;1;5;e;721;1.424304;0;0.05;6.05
188;-0.95511;b;43;4;31;a;1;1;a;134;0.998535;1;-3.57;2.43
189;-1.24775;a;38;4;22;a;1;2;b;298;0.804829;1;-2.88;3.12
190;-1.05786;b;5;2;24;a;1;2;b;280;0.473497;0;-1.14;4.86
191;-1.36263;a;8;2;20;a;1;3;c;385;1.62527;1;-2.21;3.79
192;-0.78878;b;14;1;17;b;1;5;e;718;0.54195;1;-4.52;1.48
193;0.93108;e;33;1;17;c;0;2;b;279;0.411805;0;0.49;6.49
194;-1.60569;a;49;1;23;a;1;3;c;435;0.852797;1;-3.66;2.34
195;0.691;d;42;3;22;c;0;4;d;552;2.111183;0;-0.39;5.61
196;-1.05029;b;57;8;28;b;1;3;c;325;1.491105;0;-1.88;4.12
197;1.60972;e;20;4;34;c;0;5;e;689;0.850047;1;-0.72;5.28
198;1.32599;e;23;3;26;c;0;6;f;788;1.356152;1;0.05;6.05
199;1.07397;e;39;11;39;c;0;3;c;347;1.213001;0;1.09;7.09
200;0.13513;d;36;6;32;a;0;2;b;255;0.325601;0;-1.21;4.79
201;0.6094;d;48;6;33;c;0;4;d;582;0.978137;1;-0.66;5.34
202;-0.87211;b;51;5;38;b;1;5;e;728;0.32236;1;1.3;7.3
203;-1.42648;a;28;4;22;a;1;2;b;295;2.135229;0;-2.82;3.18
204;-1.12828;a;13;3;29;a;1;3;c;397;1.609262;0;-2.54;3.46
205;0.78361;d;45;6;38;c;1;5;e;721;1.424304;1;3.43;9.43
206;-1.00312;b;44;2;16;a;1;3;c;323;0.68715;1;-0.66;5.34
207;-0.23735;c;52;8;41;b;1;4;d;575;1.48627;1;0.51;6.51
208;0.65307;d;8;2;25;b;0;4;d;529;1.914478;0;0.25;6.25
209;-0.11336;c;30;2;21;c;0;5;e;711;0.315133;0;-1.35;4.65
210;-0.11715;c;43;5;26;b;1;1;a;41;0.454488;1;-4.5;1.5
211;-0.70519;b;35;8;40;b;0;4;d;578;0.637687;1;-1.43;4.57
212;-0.49329;c;19;5;25;a;1;3;c;388;0.844056;0;-0.56;5.44
213;-0.96718;b;29;5;27;a;1;3;c;450;0.884218;1;-3.56;2.44
214;-1.11985;a;38;2;18;a;1;2;b;197;1.63187;1;-5.7;0.3
215;2.41274;e;7;4;33;c;0;1;a;36;0.409877;1;2.11;8.11
216;0.33507;d;1;5;35;b;0;6;f;867;0.598911;0;0.55;6.55
217;-1.19176;a;47;13;38;b;1;2;b;236;1.022299;1;-5.03;0.97
218;-0.89712;b;38;1;21;a;1;1;a;130;0.575095;1;-0.9;5.1
219;1.38845;e;59;3;23;c;0;4;d;530;4.380878;0;-3.09;2.91
220;0.79568;d;4;2;40;b;0;4;d;588;0.906138;0;3.73;9.73
221;1.52027;e;35;1;17;b;0;2;b;278;0.733045;0;-0.83;5.17
222;-0.1765;c;42;3;32;a;1;5;e;673;2.38738;1;0.52;6.52
223;-0.91798;b;21;7;39;a;1;3;c;324;1.840626;0;-1.65;4.35
224;0.33024;d;54;7;31;b;1;3;c;457;0.523313;1;-1.62;4.38
225;-0.72425;b;38;4;27;a;1;2;b;293;0.259814;1;-2.15;3.85
226;-0.03843;c;38;3;22;b;1;4;d;565;1.783524;1;-2.58;3.42
227;2.1123;e;32;1;26;c;0;6;f;838;0.491957;1;2.5;8.5
228;-0.44386;c;49;1;22;a;1;1;a;95;0.689939;1;-3.71;2.29
229;-0.51137;c;59;3;27;a;1;2;b;219;1.109012;1;0.14;6.14
230;-1.39163;a;56;7;35;a;1;3;c;307;1.876091;1;-1.49;4.51
231;-1.07838;a;21;10;33;a;1;2;b;280;0.473497;0;-1.83;4.17
232;-0.66698;b;34;1;17;b;1;3;c;346;0.585313;1;-4.17;1.83
233;-1.12011;a;52;6;30;a;1;3;c;403;1.724622;1;-1.05;4.95
234;-1.3185;a;51;1;16;a;1;3;c;468;0.944549;1;-2.39;3.61
235;-0.8993;b;55;2;21;a;1;3;c;451;0.871227;1;-1.79;4.21
236;0.92421;e;28;2;27;b;0;6;f;777;1.310241;0;-2.25;3.75
237;-1.23007;a;34;3;23;a;1;3;c;445;1.107078;1;-2.74;3.26
238;0.08874;c;3;6;30;b;1;2;b;273;0.931704;1;-0.28;5.72
239;-0.33794;c;1;8;36;a;1;3;c;389;0.990243;0;-4.34;1.66
240;0.94069;e;49;7;35;c;1;3;c;457;0.523313;0;0.41;6.41
241;-0.43496;c;36;5;29;b;0;1;a;80;0.517425;0;-4.37;1.63
242;0.72147;d;9;3;30;c;0;4;d;588;0.906138;0;0.87;6.87
243;-0.90266;b;46;5;26;a;0;3;c;482;1.017149;1;-5.21;0.79
244;-0.43496;c;16;6;31;b;0;1;a;80;0.517425;0;-1.82;4.18
245;-0.70681;b;25;6;31;a;0;4;d;542;0.487276;1;-0.96;5.04
246;-0.93415;b;16;3;24;a;1;2;b;298;0.804829;0;-4.34;1.66
247;-0.8126;b;29;10;39;b;1;2;b;274;0.39609;1;-2.05;3.95
248;0.91123;e;38;3;21;c;0;6;f;875;0.899506;1;-1.09;4.91
249;0.77229;d;29;7;31;b;1;5;e;607;1.198893;0;-0.75;5.25
250;-1.03761;b;29;8;30;a;0;4;d;549;1.318093;0;-1.9;4.1
251;-0.87488;b;53;5;30;a;1;2;b;207;1.036056;1;-2.92;3.08
252;0.1089;d;10;2;24;a;0;2;b;240;1.63111;0;-0.29;5.71
253;0.25341;d;8;1;16;b;1;3;c;486;1.610639;1;-0.74;5.26
254;-1.41723;a;13;12;37;a;1;3;c;468;0.944549;1;-5.19;0.81
255;-0.57314;c;7;4;25;a;1;2;b;239;0.62875;1;-3.52;2.48
256;-0.938;b;40;7;27;a;1;3;c;410;1.246553;1;-3.91;2.09
257;0.22919;d;44;4;28;a;1;1;a;51;0.505519;0;-3.31;2.69
258;-1.30466;a;36;2;27;a;1;3;c;384;0.597348;0;-2.92;3.08
259;1.80492;e;44;3;21;c;0;6;f;748;0.527423;1;-2.61;3.39
260;1.56055;e;7;2;33;c;0;6;f;839;0.846462;0;0.01;6.01
261;-0.0128;c;14;6;38;b;1;5;e;613;0.340137;1;-3.98;2.02
262;0.85511;d;24;3;31;b;0;6;f;810;1.179404;0;-3.26;2.74
263;-1.0899;a;43;5;22;a;1;3;c;434;0.757214;1;-0.73;5.27
264;-1.68608;a;38;7;44;a;1;3;c;469;1.081609;1;-4.07;1.93
265;0.03314;c;43;6;36;b;1;6;f;817;2.169383;1;-3.02;2.98
266;0.4707;d;33;3;33;c;1;4;d;510;0.5336;1;2.69;8.69
267;-0.26197;c;50;3;31;b;1;1;a;62;0.316868;1;-3.09;2.91
268;-0.57578;c;45;5;42;a;1;2;b;180;0.448353;1;-4.19;1.81
269;-0.81941;b;10;5;34;a;1;3;c;430;0.677025;0;1.66;7.66
270;-1.57293;a;50;4;19;a;1;2;b;194;0.62176;1;-2.22;3.78
271;-1.13978;a;25;8;33;a;1;1;a;8;1.01206;1;-1.54;4.46
272;-0.13234;c;9;9;39;b;1;4;d;569;0.625496;1;-0.52;5.48
273;0.75211;d;30;3;27;b;0;6;f;808;1.403438;0;0.21;6.21
274;1.52892;e;59;5;36;b;0;6;f;808;1.403438;0;0.88;6.88
275;0.67936;d;1;3;22;b;0;2;b;188;1.648976;1;-4.16;1.84
276;-1.67055;a;8;7;35;a;1;2;b;302;1.866052;0;-0.57;5.43
277;-0.11802;c;55;3;24;b;1;1;a;109;0.457078;1;-2.06;3.94
278;-0.24191;c;13;2;24;a;1;1;a;89;0.242415;1;-1.13;4.87
279;-1.12819;a;25;1;20;a;0;2;b;188;1.648976;0;-2.75;3.25
280;-0.85477;b;28;1;21;b;0;2;b;247;0.393695;1;-3.9;2.1
281;-1.11044;a;37;10;37;a;1;1;a;131;0.778069;1;-3.98;2.02
282;-1.11435;a;56;6;27;b;1;1;a;8;1.01206;1;-2.84;3.16
283;0.90607;e;46;4;20;b;1;1;a;27;0.240499;1;1.78;7.78
284;1.3918;e;5;5;27;c;0;3;c;326;1.315339;0;-3.83;2.17
285;0.25306;d;7;2;19;c;1;2;b;168;0.782903;0;0.63;6.63
286;-1.41753;a;12;2;16;a;1;3;c;311;1.493391;0;1.29;7.29
287;0.92638;e;54;9;34;b;0;3;c;365;2.06615;1;-2.52;3.48
288;-1.21809;a;17;10;39;a;1;6;f;892;0.521469;0;0.94;6.94
289;0.48275;d;46;2;27;c;1;5;e;680;0.689057;1;-0.97;5.03
290;0.8454;d;45;2;25;c;0;4;d;526;0.605199;1;-0.97;5.03
291;1.28196;e;6;2;27;c;1;4;d;492;0.550632;0;3.26;9.26
292;-0.79747;b;30;3;23;a;1;3;c;459;0.740645;1;-5.55;0.45
293;0.43139;d;51;1;16;a;0;1;a;121;0.956984;1;-0.4;5.6
294;-0.86508;b;11;1;15;a;1;3;c;478;1.745102;0;-2.96;3.04
295;-0.82824;b;19;2;21;b;1;2;b;243;0.265842;1;-1.83;4.17
296;-1.64851;a;11;2;20;a;1;3;c;449;0.32492;0;-1.42;4.58
297;0.65117;d;41;1;28;c;0;6;f;864;2.665578;0;-0.3;5.7
298;1.52197;e;29;1;24;c;0;5;e;701;0.715807;1;-0.36;5.64
299;-0.97278;b;6;7;37;b;1;4;d;493;0.713338;0;2.82;8.82
300;1.29162;e;49;1;21;c;0;3;c;331;1.461966;1;-4.15;1.85
301;-0.94044;b;50;4;26;b;1;1;a;111;0.947397;0;0.15;6.15
302;-0.7639;b;8;7;48;a;1;2;b;277;0.429307;1;1.3;7.3
303;1.48391;e;36;2;24;c;0;6;f;889;1.344895;0;-1.95;4.05
304;-0.51737;c;2;6;32;a;0;4;d;572;0.695314;1;2.28;8.28
305;1.39161;e;59;1;21;c;0;6;f;898;2.342086;1;-0.39;5.61
306;-1.38105;a;14;12;44;a;1;3;c;474;1.029498;1;-3.82;2.18
307;-0.38185;c;38;4;35;b;1;5;e;662;0.706887;1;-3.71;2.29
308;-0.34361;c;49;1;16;a;1;3;c;424;1.754282;0;-3.26;2.74
309;0.39957;d;20;4;27;c;1;5;e;725;1.507239;0;0.48;6.48
310;0.26431;d;6;2;26;b;0;6;f;875;0.899506;0;0.79;6.79
311;0.53267;d;36;3;22;a;0;3;c;453;0.58552;1;-2.3;3.7
312;-0.87864;b;15;2;29;a;1;1;a;69;1.278626;0;-0.54;5.46
313;0.36194;d;18;3;20;a;0;3;c;413;0.600198;1;-0.01;5.99
314;-1.25238;a;54;8;31;b;1;3;c;468;0.944549;1;-4.14;1.86
315;-0.33191;c;58;12;31;b;1;2;b;169;0.483374;1;-2.9;3.1
316;1.15516;e;1;3;22;c;0;6;f;826;0.980628;1;1.02;7.02
317;1.95076;e;6;2;33;c;0;1;a;108;0.653971;1;1.36;7.36
318;0.06319;c;55;3;29;b;1;5;e;671;1.756982;1;-1.93;4.07
319;1.01361;e;48;2;23;c;0;6;f;885;2.254121;0;-1.84;4.16
320;0.07953;c;50;5;36;b;1;3;c;481;0.619556;1;-1.66;4.34
321;-0.98608;b;36;9;37;a;1;2;b;239;0.62875;0;-3.43;2.57
322;-1.06865;a;26;3;23;a;1;2;b;197;1.63187;0;0.32;6.32
323;0.14867;d;40;2;19;b;1;5;e;679;0.72372;1;-0.02;5.98
324;-1.57652;a;37;5;23;a;1;2;b;250;0.461434;1;-3.04;2.96
325;0.96821;e;8;3;25;b;0;5;e;692;1.020238;1;5.49;11.49
326;-0.99215;b;2;7;35;a;1;3;c;422;0.516861;0;1.44;7.44
327;0.88914;e;23;4;29;c;0;6;f;832;2.100733;0;-0.21;5.79
328;0.22262;d;58;5;34;b;1;5;e;681;0.674375;1;-1.53;4.47
329;-0.46653;c;54;4;26;a;1;6;f;853;0.579622;1;-1.62;4.38
330;1.48246;e;59;2;27;c;0;6;f;804;0.77764;0;-1.73;4.27
331;-0.31644;c;29;1;25;a;1;5;e;613;0.340137;0;-0.04;5.96
332;0.64628;d;4;5;22;a;0;3;c;402;1.337653;1;1.77;7.77
333;0.45862;d;3;8;44;c;1;6;f;760;0.30668;0;0.12;6.12
334;0.26692;d;31;2;20;a;1;1;a;141;1.308379;0;-4.39;1.61
335;-1.1082;a;52;6;31;a;1;1;a;137;1.559909;1;-1.32;4.68
336;1.90639;e;24;5;37;c;0;6;f;802;0.943079;0;-1.41;4.59
